MMID,area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,tonnes,landed_value
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1998,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,106.35,183453.75
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1999,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,574,346696
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1999,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,86.1,52004.4
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2000,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,535,356310
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2000,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,80.25,53446.5
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2001,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,482,303178
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2001,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,72.3,45476.7
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2002,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,494,295412
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2002,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,74.1,44311.8
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2003,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,386,194930
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2003,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,57.9,29239.5
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2004,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,371,7847763
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2004,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,55.65,1177164.45
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2005,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,622,15401342
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2005,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,93.3,2310201.3
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2006,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,649,17406829
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2006,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,97.35,2611024.35
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2007,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,687,18426027
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2007,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,103.05,2763904.05
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2008,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,715,19177015
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2008,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,107.25,2876552.25
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2009,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,743,19928003
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,2009,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,111.45,2989200.45
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,2010,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,756,20276676
485,Mexico (Pacific),eez,Reconstructed domestic catch,1,2010,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,113.4,3041501.4
