Species,Location,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59
Ulva intestinalis,NAY,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulva intestinalis,JAL,2006,2005,2005,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulva intestinalis,MICH,1990,1998,1993,1998,1998,1998,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulva intestinalis,GRO,1998,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulva intestinalis,OAX,1998,1998,1995,1998,1996,1995,1995,1998,1998,1997,1998,2000,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulva intestinalis,CHIS,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulva lactuca Linnaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulva lactuca,BCP,1986,1986,1945,1986,1986,1986,1976,1982,1982,1983,1985,1986,1991,1982,1964,1982,1982,1982,1982,1962,1985,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulva lactuca,BCSP,1994,1998,2011,1989,1989,2011,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulva lactuca,BCG,1998,2002,2002,2002,2002,1959,1924,1996,2003,1973,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulva lactuca,BCSG,1959,1993,2003,2011,1959,1959,2000,2003,2000,1985,2003,1944,1985,1991,1991,1996,1997,1997,1999,2001,2005,2000,2005,2000,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulva lactuca,SON,1944,1924,1987,2000,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
