Entidad,Oficina,Mes,Origen,Nombre Comun,Peso Vivo (Kg.),Peso Desem. (Kg.),Valor (pesos),Año
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Abril,CAPTURA,ALGA GELIDIUM,"30,000.00","5,000.00","40,000.00",2007
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Abril,CAPTURA,ALGA GELIDIUM,900,900,"6,300.00",2010
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Abril,CAPTURA,ALGA GELIDIUM,"61,200.00","10,200.00","81,600.00",2010
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Abril,CAPTURA,ALGA GELIDIUM,"40,320.00","6,720.00","47,040.00",2013
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Abril,CAPTURA,ALGA GELIDIUM,"63,073.93","15,263.93","119,392.89",2014
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Abril,CAPTURA,ALGA GELIDIUM,"167,868.00","27,978.00","222,847.00",2009
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Abril,CAPTURA,ALGA GELIDIUM,"84,300.00","14,050.00","112,400.00",2006
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Abril,CAPTURA,ALGA GELIDIUM,"31,000.00","186,000.00","243,040.00",2008
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Abril,CAPTURA,ALGA GELIDIUM,"31,200.00","5,200.00","36,400.00",2012
BAJA CALIFORNIA,EL ROSARIO,Mayo,CAPTURA,ALGA GIGARTINA,"80,000.00","20,000.00","100,000.00",2010
BAJA CALIFORNIA,EL ROSARIO,Mayo,CAPTURA,ALGA GELIDIUM,"66,000.00","11,000.00","77,000.00",2010
BAJA CALIFORNIA,EL ROSARIO,Mayo,CAPTURA,ALGA GELIDIUM,"24,000.00","4,000.00","28,000.00",2009
BAJA CALIFORNIA,EL ROSARIO,Mayo,CAPTURA,ALGA GELIDIUM,"4,000.00","4,000.00","28,000.00",2011
BAJA CALIFORNIA,EL ROSARIO,Mayo,CAPTURA,ALGA SE,"63,778.81","13,778.81","89,011.09",2014
BAJA CALIFORNIA,ENSENADA,Mayo,CAPTURA,ALGA GELIDIUM,"8,400.00","50,400.00","67,226.04",2008
BAJA CALIFORNIA,ENSENADA,Mayo,CAPTURA,ALGA GELIDIUM,"37,980.00","6,330.00","44,310.00",2010
BAJA CALIFORNIA,ENSENADA,Mayo,CAPTURA,ALGA GELIDIUM,"109,788.84","23,718.84","162,519.25",2014
BAJA CALIFORNIA,ENSENADA,Mayo,CAPTURA,ALGA GELIDIUM,"1,740.00","1,740.00","12,180.00",2012
BAJA CALIFORNIA,ENSENADA,Mayo,CAPTURA,ALGA GELIDIUM,"35,088.00","5,848.00","40,936.00",2011
BAJA CALIFORNIA,ENSENADA,Mayo,CAPTURA,ALGA SE,"13,500.00","13,500.00","67,500.00",2012
BAJA CALIFORNIA,ISLA CEDROS,Mayo,CAPTURA,ALGA GELIDIUM,"50,280.00","8,380.00","63,185.20",2007
BAJA CALIFORNIA,ISLA CEDROS,Mayo,CAPTURA,ALGA GELIDIUM,"168,000.00","28,000.00","196,000.00",2011
BAJA CALIFORNIA,ISLA CEDROS,Mayo,CAPTURA,ALGA GELIDIUM,"48,000.00","8,000.00","56,000.00",2009
BAJA CALIFORNIA,ISLA CEDROS,Mayo,CAPTURA,ALGA GELIDIUM,"180,244.07","50,744.07","355,208.48",2013
BAJA CALIFORNIA,ISLA CEDROS,Mayo,CAPTURA,ALGA GELIDIUM,"187,800.00","31,300.00","219,100.00",2012
BAJA CALIFORNIA,SAN FELIPE,Mayo,CAPTURA,ALGA GELIDIUM,"3,950.00","23,700.00","31,612.25",2008
BAJA CALIFORNIA,SAN QUINTIN,Mayo,CAPTURA,ALGA GELIDIUM,"7,800.00","1,300.00","9,100.00",2012
BAJA CALIFORNIA,SAN QUINTIN,Mayo,CAPTURA,ALGA GIGARTINA,"182,832.58","53,832.58","347,758.46",2014
BAJA CALIFORNIA,SAN QUINTIN,Mayo,CAPTURA,ALGA GIGARTINA,"80,000.00","20,000.00","120,000.00",2011
BAJA CALIFORNIA,SAN QUINTIN,Mayo,CAPTURA,ALGA GIGARTINA,"152,000.00","38,000.00","228,000.00",2010
BAJA CALIFORNIA,SAN QUINTIN,Mayo,CAPTURA,ALGA SE,"41,451.97","41,451.97","267,779.74",2014
BAJA CALIFORNIA,SAN QUINTIN,Mayo,CAPTURA,ALGA GIGARTINA,"8,000.00","8,000.00","48,000.00",2012
