"","State/Province","Scientific name","County","Inicio","Fin","Titulo","Key","State"
"566","Baja California Sur","Pinctada mazatlanica","La Paz",NA,NA,"Especimen preservado de Pinctada mazatlanica en Baja California Sur","Moluscos; Malacologia; Presencia; La Paz","La Paz"
"567","Guerrero","Pinctada mazatlanica","Acapulco","1905","1905","Especimen preservado de Pinctada mazatlanica en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"568","Guerrero","Pinctada mazatlanica","Zihuatanejo","1905","1939","Especimen preservado de Pinctada mazatlanica en Guerrero","Moluscos; Malacologia; Presencia; Zihuatanejo","Zihuatanejo"
"569","Sinaloa","Pinctada mazatlanica","Mazatlán",NA,NA,"Especimen preservado de Pinctada mazatlanica en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"570","","Pinna rudis","Costa Del Atlántico",NA,NA,"Especimen preservado de Pinna rudis en ","Moluscos; Malacologia; Presencia; Costa Del Atlántico","Costa Del Atlántico"
"571","Baja California Sur","Pinna rugosa","Isla Partida","1960","1960","Especimen preservado de Pinna rugosa en Baja California Sur","Moluscos; Malacologia; Presencia; Isla Partida","Isla Partida"
"572","Guerrero","Pinna rugosa","Acapulco","1905","1905","Especimen preservado de Pinna rugosa en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"573","Guerrero","Pinna rugosa","Zihuatanejo",NA,NA,"Especimen preservado de Pinna rugosa en Guerrero","Moluscos; Malacologia; Presencia; Zihuatanejo","Zihuatanejo"
"574","México","Pisidium (Cyclocalyx) milium","San Vicente","1942","1942","Especimen preservado de Pisidium (Cyclocalyx) milium en México","Moluscos; Malacologia; Presencia; San Vicente","San Vicente"
"575","Sinaloa","Pitar (Hyphantosoma) hertleini","Mazatlán",NA,NA,"Especimen preservado de Pitar (Hyphantosoma) hertleini en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"576","Sinaloa","Pitar (Hyphantosoma) pollicaris","Mazatlán","1905","1905","Especimen preservado de Pitar (Hyphantosoma) pollicaris en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"577","Colima","Pitar (Hysteroconcha) lupanaria","Manzanillo","1905","1905","Especimen preservado de Pitar (Hysteroconcha) lupanaria en Colima","Moluscos; Malacologia; Presencia; Manzanillo","Manzanillo"
"578","Guerrero","Pitar (Hysteroconcha) lupanaria","Acapulco",NA,NA,"Especimen preservado de Pitar (Hysteroconcha) lupanaria en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"579","Sinaloa","Pitar (Hysteroconcha) lupanaria","Mazatlán","1957","1957","Especimen preservado de Pitar (Hysteroconcha) lupanaria en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"580","Guerrero","Pitar (Hysteroconcha) roseus","Acapulco","1905","1905","Especimen preservado de Pitar (Hysteroconcha) roseus en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"581","Oaxaca","Pitar (Hysteroconcha) roseus","Salina Cruz","1905","1905","Especimen preservado de Pitar (Hysteroconcha) roseus en Oaxaca","Moluscos; Malacologia; Presencia; Salina Cruz","Salina Cruz"
"582","Colima","Pitar (Lamelliconcha) alternatus","Manzanillo",NA,NA,"Especimen preservado de Pitar (Lamelliconcha) alternatus en Colima","Moluscos; Malacologia; Presencia; Manzanillo","Manzanillo"
"583","Guerrero","Pitar (Lamelliconcha) alternatus","Acapulco","1905","1905","Especimen preservado de Pitar (Lamelliconcha) alternatus en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"584","Sinaloa","Pitar (Lamelliconcha) alternatus","Mazatlán",NA,NA,"Especimen preservado de Pitar (Lamelliconcha) alternatus en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"585","Guerrero","Pitar (Lamelliconcha) concinnus","Acapulco",NA,NA,"Especimen preservado de Pitar (Lamelliconcha) concinnus en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"586","Sinaloa","Pitar (Lamelliconcha) concinnus","Mazatlán",NA,NA,"Especimen preservado de Pitar (Lamelliconcha) concinnus en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"587","Guerrero","Pitar (Lamelliconcha) tortuosus","Zihuatanejo",NA,NA,"Especimen preservado de Pitar (Lamelliconcha) tortuosus en Guerrero","Moluscos; Malacologia; Presencia; Zihuatanejo","Zihuatanejo"
"588","Guerrero","Pitar (Lamelliconcha) unicolor","Acapulco",NA,NA,"Especimen preservado de Pitar (Lamelliconcha) unicolor en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"589","","Pitar (Pitar) arestus","",NA,NA,"Especimen preservado de Pitar (Pitar) arestus en ","Moluscos; Malacologia; Presencia; ",""
"590","Guerrero","Pitar (Pitar) consanguineus","Acapulco","1905","1905","Especimen preservado de Pitar (Pitar) consanguineus en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"591","","Pitar (Pitar) fulminatus","","1905","1905","Especimen preservado de Pitar (Pitar) fulminatus en ","Moluscos; Malacologia; Presencia; ",""
"592","Yucatán","Pitar (Pitar) morrhuanus","Telchac","1963","1963","Especimen preservado de Pitar (Pitar) morrhuanus en Yucatán","Moluscos; Malacologia; Presencia; Telchac","Telchac"
"593","Florida","Pitar (Pitar) simpsoni","",NA,NA,"Especimen preservado de Pitar (Pitar) simpsoni en Florida","Moluscos; Malacologia; Presencia; ",""
"594","Sonora","Plectodon scaber","Guaymas",NA,NA,"Especimen preservado de Plectodon scaber en Sonora","Moluscos; Malacologia; Presencia; Guaymas","Guaymas"
"595","Colima","Pododesmus (Monia) macroschisma","Manzanillo",NA,NA,"Especimen preservado de Pododesmus (Monia) macroschisma en Colima","Moluscos; Malacologia; Presencia; Manzanillo","Manzanillo"
"596","Sinaloa","Pododesmus (Pododesmus) foliatus","Mazatlán",NA,NA,"Especimen preservado de Pododesmus (Pododesmus) foliatus en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"597","Sinaloa","Polymesoda (Egeta) altilis","Mazatlán","1905","1905","Especimen preservado de Polymesoda (Egeta) altilis en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
