"","State/Province","Scientific name","County","Inicio","Fin","Titulo","Key"
"172","Campeche","Dactylopterus volitans","Boca De Puerto Real, Laguna De Términos","1978","1978","Especimen preservado de Dactylopterus volitans en Campeche","Peces; Ictiologia; Presencia; Boca De Puerto Real, Laguna De Términos"
"173","Campeche","Dasyatis americana","Sonda De Campeche Frente A La Laguna De Términos","1985","2008","Especimen preservado de Dasyatis americana en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"174","Campeche","Dasyatis guttata","Boca Del Carmen, Laguna De Términos","1980","1980","Especimen preservado de Dasyatis guttata en Campeche","Peces; Ictiologia; Presencia; Boca Del Carmen, Laguna De Términos"
"175","Campeche","Dasyatis hastata","Boca De Puerto Real","1980","1980","Especimen preservado de Dasyatis hastata en Campeche","Peces; Ictiologia; Presencia; Boca De Puerto Real"
"176","Campeche","Decapterus punctatus","Estero Pargo, Laguna De Términos","1980","1980","Especimen preservado de Decapterus punctatus en Campeche","Peces; Ictiologia; Presencia; Estero Pargo, Laguna De Términos"
"177","Campeche","Decodon puellaris","Laguna De Términos","2008","2008","Especimen preservado de Decodon puellaris en Campeche","Peces; Ictiologia; Presencia; Laguna De Términos"
"178","Campeche","Decodon puellaris","Suroeste De Cayo Arcas","1983","1983","Especimen preservado de Decodon puellaris en Campeche","Peces; Ictiologia; Presencia; Suroeste De Cayo Arcas"
"179","Campeche","Diapterus auratus","Estero Pargo, Laguna De Términos","1981","1981","Especimen preservado de Diapterus auratus en Campeche","Peces; Ictiologia; Presencia; Estero Pargo, Laguna De Términos"
"180","Campeche","Diapterus auratus","Sonda De Campeche","1980","1980","Especimen preservado de Diapterus auratus en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche"
"181","Campeche","Diapterus rhombeus","Laguna De Términos","1986","1986","Especimen preservado de Diapterus rhombeus en Campeche","Peces; Ictiologia; Presencia; Laguna De Términos"
"182","Campeche","Diapterus rhombeus","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Diapterus rhombeus en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"183","Campeche","Diodon holocanthus","Boca De Puerto Real","1985","1985","Especimen preservado de Diodon holocanthus en Campeche","Peces; Ictiologia; Presencia; Boca De Puerto Real"
"184","Campeche","Diodon holocanthus","Boca De Puerto Real, Laguna De Términos","1985","1985","Especimen preservado de Diodon holocanthus en Campeche","Peces; Ictiologia; Presencia; Boca De Puerto Real, Laguna De Términos"
"185","Campeche","Diplectrum bivittatum","Sonda De Campeche","2001","2001","Especimen preservado de Diplectrum bivittatum en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche"
"186","Campeche","Diplectrum formosum","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Diplectrum formosum en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
